"ModelID","SampleID","CompoundName","CompoundID","EC50","LowerAsymptote","UpperAsymptote","Slope","MinimumDose","MaximumDose","DoseUnit","CellLineName","StrippedCellLineName","DepmapModelType","TargetOrMechanism","GeneSymbolOfTargets"
"ACH-001402","GDSC2:1085","284461-73-0","DPC-000083",2.37881051805584,0.542907033110452,0.96221792446423,-2.34127028775499,0.0100052698506632,10,"uM","SW756","SW756","CESC","FLT3 INHIBITOR, KIT INHIBITOR, PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, RAF INHIBITOR, RET TYROSINE KINASE INHIBITOR, VEGFR INHIBITOR","BRAF;DDR2;FGFR1;FLT1;FLT3;FLT4;KDR;KIT;PDGFRB;RAF1;RET"
"ACH-002201","GDSC2:1085","284461-73-0","DPC-000083",3.31397201250446,0.012972243171512,1.01,-12.5006256690449,0.0100052698506632,10,"uM","TC-YIK","TCYIK","SCCE","FLT3 INHIBITOR, KIT INHIBITOR, PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, RAF INHIBITOR, RET TYROSINE KINASE INHIBITOR, VEGFR INHIBITOR","BRAF;DDR2;FGFR1;FLT1;FLT3;FLT4;KDR;KIT;PDGFRB;RAF1;RET"
"ACH-001333","GDSC2:1021","AG-13736","DPC-000366",2.5498619424387,0.401707815348139,0.977260092068238,-1.8584209086587,0.0100052698506632,10,"uM","C-33 A","C33A","CESC","PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, VEGFR INHIBITOR","CSF1;FLT1;FLT4;KDR;PLK4"
"ACH-001334","GDSC2:1021","AG-13736","DPC-000366",3.17254216921933,0.670977535330007,0.923612055860856,-16.3832311322835,0.0100052698506632,10,"uM","C-4 I","C4I","CESC","PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, VEGFR INHIBITOR","CSF1;FLT1;FLT4;KDR;PLK4"
"ACH-001336","GDSC2:1021","AG-13736","DPC-000366",3.86440241688081,0.462417788955594,0.981599243748975,-1.37047820773466,0.0100052698506632,10,"uM","Ca Ski","CASKI","CESC","PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, VEGFR INHIBITOR","CSF1;FLT1;FLT4;KDR;PLK4"
"ACH-001341","GDSC2:1021","AG-13736","DPC-000366",2.4158579638214,0.809614841086193,0.982592810617945,-2.74879862501749,0.0100052698506632,10,"uM","DoTc2 4510","DOTC24510","MCCE","PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, VEGFR INHIBITOR","CSF1;FLT1;FLT4;KDR;PLK4"
"ACH-001525","GDSC2:1021","AG-13736","DPC-000366",13.0442088754062,0.28883329147439,1.00999999885389,-1.88330468096385,0.0100052698506632,10,"uM","HT-3","HT3","CEAD","PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, VEGFR INHIBITOR","CSF1;FLT1;FLT4;KDR;PLK4"
"ACH-001086","GDSC2:1021","AG-13736","DPC-000366",3.98518517358368,0.0435651278516372,1.01,-0.759456360428661,0.0100052698506632,10,"uM","HeLa","HELA","ECAD","PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, VEGFR INHIBITOR","CSF1;FLT1;FLT4;KDR;PLK4"
"ACH-001359","GDSC2:1021","AG-13736","DPC-000366",3.69389253084193,0.700363060213081,0.985803685352069,-9.89890711479438,0.0100052698506632,10,"uM","ME-180","ME180","CESC","PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, VEGFR INHIBITOR","CSF1;FLT1;FLT4;KDR;PLK4"
"ACH-001360","GDSC2:1021","AG-13736","DPC-000366",2.40342582915847,0.593440669633065,0.946787728457998,-18.5400325743464,0.0100052698506632,10,"uM","MS751","MS751","CESC","PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, VEGFR INHIBITOR","CSF1;FLT1;FLT4;KDR;PLK4"
"ACH-000129","GDSC2:1021","AG-13736","DPC-000366",1.01676224966909,0.615059226770484,0.905810647358456,-14.0470891662529,0.0100052698506632,10,"uM","NCI-H1341","NCIH1341","SCNEC","PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, VEGFR INHIBITOR","CSF1;FLT1;FLT4;KDR;PLK4"
"ACH-002180","GDSC2:1021","AG-13736","DPC-000366",12.8954171659016,0.669364241146086,0.936898946960935,-6.07781396726444,0.0100052698506632,10,"uM","OMC-1","OMC1","CESC","PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, VEGFR INHIBITOR","CSF1;FLT1;FLT4;KDR;PLK4"
"ACH-000556","GDSC2:1021","AG-13736","DPC-000366",3.14325455435661,0.663580536902103,0.976952155318695,-16.0944397804246,0.0100052698506632,10,"uM","SIHA","SIHA","CESC","PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, VEGFR INHIBITOR","CSF1;FLT1;FLT4;KDR;PLK4"
"ACH-001650","GDSC2:1021","AG-13736","DPC-000366",3.06836589129519,0.715901433292422,0.981523058539306,-14.2764956507941,0.0100052698506632,10,"uM","SISO","SISO","CEAD","PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, VEGFR INHIBITOR","CSF1;FLT1;FLT4;KDR;PLK4"
"ACH-001402","GDSC2:1021","AG-13736","DPC-000366",6.73520520891526,0.620056961800549,1.00289356377407,-2.52919287440429,0.0100052698506632,10,"uM","SW756","SW756","CESC","PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, VEGFR INHIBITOR","CSF1;FLT1;FLT4;KDR;PLK4"
"ACH-002201","GDSC2:1021","AG-13736","DPC-000366",1.39992432456382,0.26944398666285,0.984208344887211,-2.70795696813017,0.0100052698506632,10,"uM","TC-YIK","TCYIK","SCCE","PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, VEGFR INHIBITOR","CSF1;FLT1;FLT4;KDR;PLK4"
"ACH-001333","GDSC2:1029","AMG 706","DPC-000504",0.139406236715623,1.01,1.01,1e-05,0.0100052698506632,10,"uM","C-33 A","C33A","CESC","KIT INHIBITOR, PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, VEGFR INHIBITOR","FLT1;FLT4;KDR;KIT"
"ACH-001334","GDSC2:1029","AMG 706","DPC-000504",0.474019084915407,1.01,1.01,1e-05,0.0100052698506632,10,"uM","C-4 I","C4I","CESC","KIT INHIBITOR, PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, VEGFR INHIBITOR","FLT1;FLT4;KDR;KIT"
"ACH-001336","GDSC2:1029","AMG 706","DPC-000504",0.605162724733387,1.01,1.01,1e-05,0.0100052698506632,10,"uM","Ca Ski","CASKI","CESC","KIT INHIBITOR, PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, VEGFR INHIBITOR","FLT1;FLT4;KDR;KIT"
"ACH-001341","GDSC2:1029","AMG 706","DPC-000504",0.176781172461063,0.975202617144125,0.987110488490133,-12.7147856924689,0.0100052698506632,10,"uM","DoTc2 4510","DOTC24510","MCCE","KIT INHIBITOR, PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, VEGFR INHIBITOR","FLT1;FLT4;KDR;KIT"
"ACH-001525","GDSC2:1029","AMG 706","DPC-000504",0.30824851283322,1.01,1.01,1e-05,0.0100052698506632,10,"uM","HT-3","HT3","CEAD","KIT INHIBITOR, PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, VEGFR INHIBITOR","FLT1;FLT4;KDR;KIT"
"ACH-001086","GDSC2:1029","AMG 706","DPC-000504",0.247007938562841,1.01,1.01,1e-05,0.0100052698506632,10,"uM","HeLa","HELA","ECAD","KIT INHIBITOR, PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, VEGFR INHIBITOR","FLT1;FLT4;KDR;KIT"
"ACH-001359","GDSC2:1029","AMG 706","DPC-000504",34.4205211279951,1.01,1.01,-0.0844533426064166,0.0100052698506632,10,"uM","ME-180","ME180","CESC","KIT INHIBITOR, PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, VEGFR INHIBITOR","FLT1;FLT4;KDR;KIT"
